ID,3大都市圏か否か,世帯人員,就業人員,住居の所有関係,就業・非就業の別,年齢階級（5歳階級）,年齢階級（65歳未満か否か）,集計用乗率,年間収入（円）,消費支出額（合計）,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出
A37,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"4,836,156","180,531","48,944","4,818","8,400","9,126","6,807","33,438","29,532","5,638","10,575","23,248"
A38,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,807,261","203,934","55,003",149,"13,766","6,692","38,423","1,790","20,892","1,993","20,126","45,097"
A39,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,374,376","184,924","40,037",13,"10,622","7,508","8,240","23,715","39,900",779,"28,633","25,473"
A40,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"4,699,051","212,674","43,279","1,645","11,056","9,047","46,690","10,142","30,036",684,"47,738","12,353"
A41,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,564,433","240,705","40,303","23,235","9,461","17,759","7,519","32,076","19,067",897,"32,818","57,564"
A42,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,355,474","186,778","32,316",85,"10,924","6,752","16,981","24,720","38,077","1,439","27,231","28,249"
A43,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,472,681","125,442","38,935","1,292","10,628","3,595",494,"2,305","12,572","9,252","3,627","42,737"
A44,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,036,618","187,644","39,980",22,"19,622","3,249",881,"14,929","14,028",352,"26,137","68,439"
A45,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"4,559,260","131,365","50,464",342,"14,765","6,377","13,317","2,614","14,278","5,044","17,464","6,696"
A46,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,045,019","151,502","25,990","3,979","9,575","4,170","18,321","30,739","10,558","13,913","11,387","22,866"
A47,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,081,229","233,066","23,920",186,"14,612","4,382","2,229","15,364","16,889",777,"2,833","151,869"
A48,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,409,135","314,730","58,461","3,066","13,112","7,738","3,227","2,135","45,187","46,078","63,961","71,761"
A49,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,245,724","623,312","58,709","5,129","13,293","17,496",519,"1,090","35,903","282,376","94,634","114,159"
A50,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,106,070","161,212","28,030","14,264","12,657","7,559","15,411","3,273","22,711","7,954","31,677","17,671"
A51,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,130,639","272,925","78,573","1,354","22,019","1,946","2,687","8,288","32,680","1,233","8,825","115,315"
A52,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,128,416","157,290","37,901",286,"13,530","14,733","5,578","2,145","34,138","1,906","12,194","34,874"
A53,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,356,649","380,710","34,904",964,"9,285","2,297","2,454","5,266","40,775","37,518","55,444","191,798"
A54,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,494,071","255,102","44,737",747,"17,236","4,651","6,606","28,660","60,714","6,908","18,546","66,293"
A55,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,376,065","190,333","55,111",300,"16,486","11,792","31,455","1,112","13,942","1,976","19,575","38,579"
A56,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"4,970,364","160,473","47,748","4,302","11,400","10,570","2,170","5,741","34,616","9,915","2,824","31,183"
A57,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,200,834","220,892","58,771","19,648","12,940","7,352","3,436","11,109","58,163","2,514","16,297","30,657"
A58,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,614,992","315,408","60,576","1,436","14,397","8,828","27,032","11,924","60,922","1,204","30,387","98,698"
A59,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,162,543","175,512","41,397","7,830","10,796","8,741","12,897","2,154","38,153","2,707","21,544","29,288"
A60,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,304,129","244,730","36,114",32,"25,410","1,843","24,379","2,180","35,358","1,124","93,965","24,321"
A61,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"4,980,330","157,754","34,918",508,"10,309","6,943","2,206","1,355","19,439","8,147","27,273","46,651"
A62,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"5,293,401","920,650","42,749","2,564","6,617","17,751","16,076","8,308","71,402","2,451","8,202","744,524"
A63,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,4_40〜44歳,1_65歳未満,585.8870968,"4,980,919","189,736","35,742",418,"14,250","2,629","1,529","5,484","42,770","16,910","29,715","40,286"
A64,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,036,005","386,037","49,034",367,"11,605","6,539","4,633","10,053","86,915",623,"154,428","61,834"
A65,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,176,040","292,113","34,036",241,"14,039","7,670","11,229","9,566","26,864","3,177","70,485","114,801"
A66,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,151,309","273,065","68,017","4,113","14,331","29,787","24,857","5,125","20,669","31,028","13,431","61,701"
A67,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,212,752","308,310","47,927","1,647","20,630",634,"12,223",332,"24,217","10,156","21,364","169,177"
A68,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,141,087","280,358","51,635","2,830","11,828","4,265","4,221","16,081","103,357","28,094","22,716","35,327"
A69,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,589,579","234,764","44,360",737,"12,876","2,036","11,026","1,735","47,797","17,063","87,596","9,534"
A70,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,061,000","147,843","58,274","1,696","6,848","1,320","3,422","7,040","38,077","2,416","16,785","11,959"
A71,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,294,855","166,713","39,577","1,226","15,679","7,274","9,388","12,165","46,937","8,604","7,682","18,177"
A72,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,530,235","144,522","62,601",158,"18,769",650,"1,306","1,714","32,182",698,"22,012","4,428"
A73,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"4,980,891","243,195","74,753",671,"19,847","2,607","1,695","6,221","22,705","20,545","34,246","59,901"
A74,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,244,647","244,402","102,781","1,240","22,681","6,101","10,553","2,031","32,463","8,394","13,189","44,966"
A75,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,160,666","263,569","20,082","7,594","9,592","1,486","39,505",843,"63,950","7,109","74,866","38,537"
A76,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,318,652","181,644","50,265","1,370","10,384",775,"3,151","4,410","24,421",64,"19,195","67,605"
A77,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,557,915","150,038","59,634",313,"15,786","4,153","2,565","5,857","26,852","3,328","23,581","7,964"
A78,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,180,935","223,520","44,911",505,"23,987",791,"15,686","5,304","33,676","13,051","18,629","66,975"
A79,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,251,106","317,439","56,023","2,918","7,545","1,296","14,923","4,614","84,722","47,965","81,093","16,335"
A80,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,323,292","248,937","42,535",143,"26,750","11,654","3,146","5,210","63,307",43,"15,393","80,751"
A81,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,218,697","169,881","38,614","1,530","12,550",717,"17,857","15,279","15,666","21,031","36,609","10,024"
A82,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,080,589","252,186","33,038",915,"13,586","6,370","25,210","6,779","13,770","4,272","34,514","113,727"
A83,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,268,418","375,801","68,800",703,"12,548","4,769","25,962",922,"21,300",390,"10,560","229,842"
A84,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,076,477","584,066","27,443","1,039","14,475","16,116","13,900","5,791","12,612","4,254","30,724","457,705"
A85,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,156,375","259,975","51,188","4,053","15,652","2,308","8,249","8,833","34,188","26,725","20,845","87,930"
A86,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,687,805","182,475","16,644","3,238","11,536","21,577","8,949","5,345","35,308","2,787","49,807","27,279"
A87,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,094,847","154,619","42,393","2,751","15,444","2,982","5,473","11,942","33,724",480,"22,068","17,357"
A88,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"4,994,840","262,749","51,426",606,"18,316","8,499","17,823","5,045","32,921","5,065","29,897","93,148"
A89,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,264,600","462,315","24,365",149,"12,752","10,214","2,337","3,363","12,059",607,"42,541","353,925"
A90,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,315,909","214,731","61,365","1,962","15,383","2,394","27,274","17,152","43,276",118,"31,389","14,413"
A91,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,591,782","283,484","43,922","2,419","15,226","32,161","1,995","5,114","62,022","82,565","29,731","8,325"
A92,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,456,871","241,945","54,911",460,"12,256","1,019","11,138","5,989","15,248","1,461","25,475","113,984"
A93,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,240,629","251,543","47,989",417,"9,965","2,359","17,388","7,923","103,834","1,762","9,790","50,110"
A94,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,446,664","202,219","68,354","3,417","19,795","4,791","23,673","2,266","24,197","1,514","5,390","48,818"
A95,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,204,904","172,882","52,646",679,"16,615","7,922","11,748","5,868","18,909","3,466","28,457","26,568"
A96,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,485,958","175,973","53,712",323,"10,781",823,"31,624","2,128","16,800","4,086","24,972","30,719"
A97,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,226,641","183,807","74,409","1,987","24,740","11,204","9,137","1,592","7,582","6,885","26,438","19,829"
A98,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,310,815","298,619","45,219","6,581","10,153","22,044","28,285","2,391","15,876",318,"10,865","156,883"
A99,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,150,422","157,562","36,470",285,"13,444","5,404","6,147",583,"15,434","3,394","34,042","42,356"
A100,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,430,783","338,657","36,087",831,"22,779","5,890","7,300","13,134","129,410","10,215","7,627","105,380"
A101,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,198,103","222,428","58,802","1,101","16,806","14,909","28,697","3,710","63,680","2,117","6,999","25,602"
A102,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,475,762","296,606","67,307",118,"14,993","15,876","20,175","16,791","16,007",935,"21,018","123,382"
A103,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,5_45〜49歳,1_65歳未満,527.519084,"5,156,181","140,227","19,120",224,"11,036","1,672","17,190","34,598","20,607","1,717","10,134","23,924"
A104,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"5,923,748","222,243","40,712",450,"8,725","29,768","4,867","8,532","57,627",65,"8,559","62,934"
A105,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,767,262","193,967","56,803",136,"14,763","6,744","4,737","4,795","9,921",338,"72,352","23,372"
A106,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,625,111","142,879","43,111","1,046","11,966","2,984","6,083",621,"21,653","12,046","11,472","31,892"
A107,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,866,517","563,977","41,388",455,"10,837","16,376","4,597","16,042","243,610","1,145","55,012","174,510"
A108,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,894,491","192,383","41,947",180,"8,959","1,851","2,783","1,726","4,811","12,472","10,773","106,875"
A109,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,405,479","266,367","33,681","3,631","9,800","24,009","45,171","3,786","62,634","3,682","17,836","62,133"
A110,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,923,941","219,855","93,760","3,565","22,579","6,155","1,727","2,274","68,176","7,170","6,838","7,606"
A111,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"5,894,289","301,892","25,528","2,022","14,170","6,547","24,529","2,933","49,879",28,"6,342","169,911"
A112,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,663,482","403,067","58,995","1,165","16,978","5,505","11,560","6,383","27,459","1,824","48,321","224,873"
A113,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,097,859","127,537","39,655",158,"10,513","21,221","3,469","18,545","10,802","4,880","4,355","13,935"
A114,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,587,662","224,047","75,266","1,939","21,818","32,743","12,664","2,798","29,535",284,"29,860","17,135"
A115,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,373,948","133,502","38,504","1,800","9,292","5,152","8,716","10,497","4,070","1,300","35,814","18,353"
A116,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"7,267,053","314,559","56,905","1,705","13,577","18,906","8,265","6,972","127,046","4,054","46,527","30,599"
A117,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,301,482","131,153","42,818","2,261","8,217","10,490",819,"10,866","16,934",824,"10,464","27,456"
A118,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,912,943","135,135","38,523",827,"13,437","2,969","9,106","13,814","17,625",575,"18,769","19,486"
A119,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,755,369","262,067","77,635","2,226","19,425","1,638","20,919","2,674","25,558",10,"62,142","49,836"
A120,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,410,111","118,166","32,683",526,"14,078","4,119","4,021",979,"18,607",156,"17,378","25,615"
A121,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"5,757,469","215,351","32,913","2,158","9,886","11,849","10,231","3,113","56,317",17,"26,885","61,978"
A122,0_3大都市圏以外,2_2人,1_1人以下,1_持ち家,1_就業,6_50〜54歳,1_65歳未満,579.9464286,"6,652,185","273,620","43,246","3,576","11,068","48,770","18,410","7,056","14,619","3,374","42,447","81,050"
