ID,世帯人員,就業人員,居住地域,住居の所有関係,就業・非就業の別,企業規模,未既婚,子ども有無,年齢階級（5歳階級）,年齢階級（65歳未満か否か）,集計用乗率,年間収入,消費支出額,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出,１ヶ月平均CM視聴率,CM視聴率の高低,割付（A/B）,購入意向
D47,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6348224,197868,16855,3847,12092,9319,7914,17971,47345,0,9633,72890,12.3,中・低視聴率層,A,1
D48,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6632365,466052,52367,814,16477,4424,6742,169679,19994,0,57163,138388,17.4,高視聴率層,B,5
D49,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6374768,272331,64219,46196,17016,1607,2335,4897,1944,0,71668,62445,10.1,中・低視聴率層,B,3
D50,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6361790,188775,59170,124,13454,3494,7270,13419,8559,0,30488,52791,16.3,高視聴率層,A,5
D51,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6397511,394199,73541,124,17724,7183,3887,17193,3057,0,14594,256893,15.6,高視聴率層,A,1
D52,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6919119,226747,63395,6887,18228,10217,27513,6635,63088,0,8461,22320,9.2,中・低視聴率層,B,3
D53,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6525055,543319,77488,295824,11776,4083,11515,10479,64630,0,14060,53459,10.7,中・低視聴率層,A,3
D54,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6712781,122756,50176,2774,13611,8844,15292,9856,1659,0,10306,10233,16.1,高視聴率層,A,2
D55,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6508586,274486,35647,2640,14551,6016,5903,5463,17612,0,32407,154244,7.7,中・低視聴率層,A,1
D56,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6085431,390705,69447,1065,33636,3680,9513,5174,149416,0,37730,81041,2.4,中・低視聴率層,B,3
D57,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6284489,173228,85303,687,20793,2283,1523,15213,2502,0,10923,33998,17.6,高視聴率層,B,2
D58,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6712013,406590,33216,232,14798,5242,9799,22102,38483,0,1718,280996,6.8,中・低視聴率層,B,4
D59,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,7_55〜59歳,1_65歳未満,584.0153453,6478174,201978,50088,1834,16245,14450,8795,24122,17699,0,11054,57687,16,高視聴率層,B,5
D60,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5520934,168453,57540,3200,13665,3928,7363,7265,36473,0,7331,31682,15.6,高視聴率層,B,3
D61,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5062701,231203,68471,6006,20396,2811,21056,5093,6629,0,79142,21594,14.3,高視聴率層,B,3
D62,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5727393,158394,44156,1781,15418,3418,27101,6884,22790,0,4100,32741,3.9,中・低視聴率層,B,2
D63,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5020960,237905,51558,3806,10526,3988,1095,2784,17266,0,77312,69565,11.4,中・低視聴率層,A,4
D64,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5508573,160874,53052,9451,20549,7280,9673,8359,7686,0,17546,27276,14.6,高視聴率層,B,5
D65,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5361373,337562,57803,784,14579,4119,8530,10152,42178,0,16821,182591,16.2,高視聴率層,A,3
D66,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5346845,213933,43558,3238,15756,21252,15851,23297,32330,0,7273,51374,18.6,高視聴率層,A,2
D67,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5336721,181354,45092,858,17311,13458,7763,2093,43917,0,25632,25227,10.6,中・低視聴率層,A,3
D68,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5057433,277494,45910,104,14731,2057,4154,24237,4544,0,50994,130759,11.7,中・低視聴率層,B,2
D69,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5430618,329454,69222,690,25102,101777,19154,3138,32347,0,20166,57853,15.8,高視聴率層,A,5
D70,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5408058,408866,55686,2930,18743,7582,4732,17032,164716,0,19843,117598,11,中・低視聴率層,A,5
D71,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5041483,279388,63902,288,16434,4853,3057,390,90354,0,9809,90297,9.6,中・低視聴率層,A,1
D72,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5387090,316571,69629,953,20797,4865,18762,14238,106278,0,26492,54551,14.1,高視聴率層,A,5
D73,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5279099,198711,31258,1748,17395,8417,11773,866,32735,0,8598,85916,15.7,高視聴率層,A,3
D74,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5263906,587922,33683,3077,13986,4638,643,17346,22952,0,35704,455890,12.4,中・低視聴率層,B,2
D75,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4916279,144411,49306,6634,8882,20976,3073,468,12961,0,6562,35546,14.4,高視聴率層,B,2
D76,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4976263,197003,50979,5200,16354,2702,19900,4771,3111,0,28028,65953,5.4,中・低視聴率層,B,4
D77,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4850572,338580,46293,1760,11109,42028,22790,2341,149927,0,33744,28585,15.2,高視聴率層,B,5
D78,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5190348,241189,53984,622,13291,8392,1007,4126,67430,0,43525,48809,15,高視聴率層,B,2
D79,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5196599,214269,49195,5108,9277,44507,43726,14449,11948,0,8873,27181,14.6,高視聴率層,B,3
D80,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5308326,198247,56318,578,15568,14783,6437,13650,5528,0,8436,76944,16.1,高視聴率層,A,1
D81,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5130464,289093,58602,380,14959,3949,13681,1247,62089,0,36186,97996,11.2,中・低視聴率層,A,3
D82,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4551663,194993,53240,3020,16348,9469,26607,4034,11690,0,21182,49399,12.4,中・低視聴率層,A,1
D83,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4846731,243847,53589,6369,15179,3872,7663,1002,18827,0,36035,101307,14.1,高視聴率層,B,5
D84,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5362948,236182,59592,54393,15422,1482,28760,3305,14500,0,19715,39009,17.1,高視聴率層,B,4
D85,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5468129,204196,41376,576,14525,7205,11316,19044,4219,0,46432,59497,18.8,高視聴率層,A,5
D86,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4964805,345825,75416,5190,20650,3134,8026,86172,51594,0,13660,81979,12.3,中・低視聴率層,A,1
D87,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5393299,255555,49623,83,15476,1183,14480,8780,16525,0,96620,52780,15.5,高視聴率層,B,2
D88,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5637702,224595,68810,32127,23642,1238,1611,13496,31835,0,8520,43310,13.1,中・低視聴率層,A,2
D89,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4718472,225336,41734,10042,13041,4813,5899,23393,1882,0,41957,82570,16.3,高視聴率層,B,4
D90,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5478701,104156,40275,3381,12830,5836,2591,4781,8320,0,3380,22759,6.4,中・低視聴率層,A,1
D91,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5752148,560670,60610,14310,23288,13621,2669,5297,310506,0,48845,81521,15.2,高視聴率層,B,3
D92,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5245461,292906,60961,38106,15800,6915,2779,12030,14233,0,19747,122332,15.6,高視聴率層,A,5
D93,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5126008,343530,37110,4057,16942,4142,12307,13864,15067,0,44578,195458,16,高視聴率層,A,3
D94,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5284027,369922,50982,7020,10750,7104,17868,2183,119690,0,17571,136750,15.3,高視聴率層,A,1
D95,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4881707,297490,44914,704,20079,7694,8020,4135,156120,0,14098,41723,15.4,高視聴率層,A,2
D96,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5177609,405270,68221,10910,18493,6009,4643,5616,107373,0,99738,84264,10.8,中・低視聴率層,B,4
D97,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5413281,169554,56073,1293,33335,11560,1580,5338,8040,0,9912,42419,16.2,高視聴率層,A,3
D98,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5417763,499112,45961,83,19502,2600,4924,9600,384278,0,11580,20579,15.6,高視聴率層,A,1
D99,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5081769,260228,55889,3227,15565,12834,4524,18533,20773,0,32267,96611,15.4,高視聴率層,A,2
D100,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,5474806,151669,37805,596,12706,19743,9310,5073,41224,0,4533,20676,7.6,中・低視聴率層,A,4
D101,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,8_60〜64歳,1_65歳未満,571.9666667,4969351,152221,55059,2231,13393,3749,12444,1280,7176,0,4957,51927,17.5,高視聴率層,A,1
D102,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,6282389,289210,45212,28507,9230,68782,3437,15471,25422,0,44955,48192,6.7,中・低視聴率層,A,1
D103,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5709954,298955,59373,8189,20101,2873,2753,26334,33451,0,65843,80034,14.5,高視聴率層,A,5
D104,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5702591,227564,68456,338,23903,2528,5339,17431,3388,0,4671,101506,4.4,中・低視聴率層,A,1
D105,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5425495,182532,59171,57422,10969,5177,5567,16948,8181,0,6066,13028,17.8,高視聴率層,A,3
D106,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,6457975,211260,69124,364,18234,28000,11679,3156,35853,0,22404,22442,17.8,高視聴率層,B,3
D107,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5751881,331019,45505,104425,12556,4934,55637,49564,11423,0,14430,32541,9.2,中・低視聴率層,B,4
D108,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5536543,182228,51779,2631,12654,36085,4064,5866,778,0,34757,33609,18.4,高視聴率層,B,3
D109,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5557268,276531,28814,16018,8642,87310,17136,487,29098,0,57299,31724,15.1,高視聴率層,B,2
D110,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5427414,254224,58625,1468,16634,15267,1403,4351,20991,0,84217,51263,17.1,高視聴率層,A,3
D111,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5373606,242727,41980,63550,20066,10622,11224,27871,587,0,39990,26831,14.5,高視聴率層,A,3
D112,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5592556,167116,47414,13541,15117,4254,2625,2552,2624,0,25172,53813,4.6,中・低視聴率層,B,5
D113,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,9_65歳以上,2_65歳以上,584.6348485,5557863,174792,59812,24020,16560,9935,2263,4121,17457,0,19066,21554,8.2,中・低視聴率層,A,1
