ID,従事産業,職業,企業規模,年齢階級(10歳階級）,集計用乗率,年間収入,消費支出額,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出
E18,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8886000,571864,64545,591,37743,7635,8354,27249,103357,200221,67611,54558
E19,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8980000,485118,54447,31075,52680,28601,22549,4378,59447,1567,48587,181787
E20,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9665000,284016,65404,836,15185,2265,7392,7379,39992,1674,111855,32034
E21,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8676000,345727,66636,4347,24791,19426,14063,15511,41176,5781,59107,94889
E22,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8862000,422875,59202,51328,30354,2615,15227,7353,105306,12961,79312,59217
E23,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8643000,758755,116588,1937,42159,3557,2542,5679,62412,2792,42207,478882
E24,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8988000,261919,88863,833,17805,6861,17076,2211,23120,7699,61143,36308
E25,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8765000,233486,34042,4082,22386,631,24656,10182,37833,8661,37195,53818
E26,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8741000,258257,79616,5702,20638,13165,26956,3840,36205,15323,41182,15630
E27,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9047000,344433,72805,538,29236,3995,18146,6294,94210,15640,65001,38568
E28,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8911000,264947,77282,164,26636,42551,6264,6673,7182,591,52425,45179
E29,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8995000,606239,92345,149,25954,33513,59608,8060,276336,1964,87798,20512
E30,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8979000,330549,72726,166,12021,9854,40088,34315,14628,24456,55533,66762
E31,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9051000,1378641,77293,1171,18578,3532,9500,86611,38520,2534,60045,1080857
E32,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8817000,640221,70468,5317,30876,1197,31683,16369,8376,48660,60147,367128
E33,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8866000,2373201,122570,3742,20334,5880,24664,4917,1926611,54748,44150,165585
E34,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8884000,326990,43933,5923,19436,5702,9649,30354,71992,32382,97299,10320
E35,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8618000,310101,64802,1645,7224,77742,13036,6603,18132,1338,74484,45095
E36,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8653000,332171,98305,7146,26300,10880,6229,11476,26504,3727,63598,78006
E37,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9142000,386374,104186,9584,31537,7479,52251,1275,3596,2984,43451,130031
E38,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8550000,296132,41630,41260,22895,11997,1561,6478,40081,4590,38604,87036
E39,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8581000,362749,72416,11370,10664,24995,24969,22565,28485,6921,74086,86278
E40,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8829000,543212,63117,792,20996,18065,4799,4721,12137,337,52509,365739
E41,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9036000,309175,42530,503,34307,24358,7264,9445,31393,39714,85214,34447
E42,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8493000,355730,85466,3234,31877,28941,7400,4697,62932,42597,53576,35010
E43,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8755000,417471,41046,17183,28554,5946,11331,51395,12017,213100,18946,17953
E44,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8470000,378798,52094,1290,25678,7298,26760,2657,13755,18166,60556,170544
E45,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8576000,449082,69323,350,15323,4318,11411,202494,63833,5254,50218,26558
E46,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9184000,497131,106616,12520,33077,4077,18718,9409,104508,2719,71840,133647
E47,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9338000,303751,78655,1018,33937,1036,21806,2262,5922,13472,89331,56312
E48,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9169000,477799,91489,203,34999,8813,17203,844,93781,37874,70134,122459
E49,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8913000,306637,73409,3610,27963,11975,7961,35838,11054,33643,87095,14089
E50,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8862000,396375,54778,6109,23024,26652,21065,18479,13738,14220,72466,145844
E51,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8501000,421652,69933,36051,21700,4949,38771,27699,34381,67684,72356,48128
E52,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8749000,406031,101635,4851,26019,1377,15806,3099,47332,118458,69858,17596
E53,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8858000,287588,58738,3766,30791,11806,21542,4736,30089,15310,79203,31607
E54,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8409000,474636,177643,2453,19355,13451,11918,26539,85183,20519,80010,37565
E55,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9033000,361701,145321,2019,27668,3547,4995,4108,62689,2303,77743,31308
E56,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8395000,278570,40673,3974,28417,4500,47033,23162,15295,11524,44503,59489
E57,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8904000,886304,81434,2726,20793,2318,11050,4628,180987,294334,76601,211433
E58,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8585000,464963,74830,647,39079,4160,10725,131042,14201,2307,61272,126700
E59,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8952000,418811,62893,7470,22731,23677,12836,1302,63670,6343,60240,157649
E60,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8715000,321286,69486,27699,11465,7789,63275,3760,15549,33026,57535,31702
E61,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8828000,299917,129833,3107,18745,3927,26667,19125,4024,3494,54672,36323
E62,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8889000,539371,102737,11277,39199,21431,15886,95978,4013,100387,101409,47054
E63,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8903000,268094,71029,7143,18669,2484,6993,14838,10653,35290,26624,74371
E64,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8894000,491364,83951,3956,22275,10201,9179,1317,128707,93845,81758,56175
E65,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8828000,367045,61342,2990,34004,5477,6139,10310,28134,80362,85629,52658
E66,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8676000,630406,100237,25690,39915,1590,7011,3141,38662,2065,26861,385234
E67,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8839000,343546,45315,11725,17522,6279,27865,74236,15322,5549,34308,105425
E68,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8915000,266580,90430,1932,20717,3850,53918,2351,3746,4957,58996,25683
E69,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8473000,575777,63909,913,22694,10367,37782,2956,19854,769,16476,400057
E70,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8952000,367200,64468,2014,14886,6197,14231,5732,119049,10067,81860,48696
E71,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8528000,274506,143749,3948,27939,280,21555,6733,21569,3426,31742,13565
E72,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8782000,445279,113242,1357,37908,2595,16647,44128,63172,2338,87619,76273
E73,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8955000,518869,160163,1697,42663,944,36155,4353,141072,3065,64546,64211
E74,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8998000,321814,62635,51000,21352,16961,33348,3922,58397,29716,30749,13734
E75,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8614000,377708,86144,23923,28149,4839,11699,6771,84175,24501,61322,46185
E76,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8928000,337530,158714,333,19985,11038,4390,32213,3968,39691,28867,38331
E77,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8625000,277350,95884,6379,36367,2250,13054,5610,12300,3700,81443,20363
E78,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8704000,420060,69859,926,42658,43973,19163,11139,24001,21987,79232,107122
E79,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8690000,436116,73550,477,17766,25238,1713,7547,19059,8232,54696,227838
E80,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8736000,620741,81645,2210,19683,5290,14763,13372,140729,21420,102666,218963
E81,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9084000,307501,61987,1518,17380,3205,27184,31858,63545,343,79263,21218
E82,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9398000,210124,59737,2582,19052,2170,4421,21917,15019,791,69252,15183
E83,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8435000,369997,70267,393,26737,1344,62593,5143,68475,3675,36640,94730
E84,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8957000,332359,110842,603,33329,22403,23060,5502,30036,33936,51076,21572
E85,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8595000,634304,48081,358543,23234,32439,8858,842,5612,96064,38312,22319
E86,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9378000,458500,104300,247,22581,2524,9386,1641,24660,7162,106791,179208
E87,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8944000,600300,216824,32844,26655,6157,18462,11191,162602,18655,43050,63860
E88,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8823000,517429,173086,6077,47318,12620,61940,89617,7917,10331,78153,30370
E89,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8246000,411890,32570,3975,15566,54595,16615,7499,183666,6328,81906,9170
E90,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9400000,581430,117602,2907,40938,12590,34831,2802,28608,2287,88902,249963
E91,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9002000,615171,91549,691,31922,13072,11502,25503,74992,146459,77536,141945
E92,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9058000,350850,76061,348,19053,13448,9150,6545,40340,14414,66151,105340
E93,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9025000,358685,64016,2989,12730,2474,13954,312,24521,73912,62472,101305
E94,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8445000,268941,79046,12502,16062,10086,11256,5702,75635,4811,34890,18951
E95,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8346000,412869,93734,93,10504,4135,26591,19646,47926,45984,70873,93383
E96,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8820000,687000,86606,2479,25198,1770,103253,406,54034,8371,45478,359405
E97,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9084000,318561,53048,4690,13558,5822,15275,43693,16448,66217,50850,48960
E98,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9217000,425838,143193,2082,33596,10260,43565,1624,16896,10914,94084,69624
E99,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8725000,175499,48154,3430,8547,1216,31521,2856,10976,15416,30067,23316
E100,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8373000,725385,66610,1937,24725,2573,18730,1443,25327,2454,570010,11576
E101,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9250000,560827,98985,35906,22038,2152,38356,37683,11852,14136,71562,228157
E102,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9134000,447799,132513,849,16527,934,7160,6617,30618,25966,81707,144908
E103,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8644000,646079,50180,22142,27474,19073,2971,50970,143016,18150,70377,241726
E104,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8580000,300619,69063,5185,15117,9236,13298,2493,22754,3505,39914,120054
E105,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8850000,508487,97342,7411,53488,35606,20777,64480,13362,1331,56211,158479
E106,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8737000,273389,102206,7721,10358,5885,9954,5474,33196,3949,66845,27801
E107,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9297000,459241,180331,18055,19519,4119,45041,3101,41536,26219,89999,31321
E108,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8385000,755785,193960,4630,43202,17805,14944,28094,239491,105039,61721,46899
E109,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8724000,414040,86031,17224,15964,12017,14107,3874,37668,61412,90981,74762
E110,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8756000,260880,57107,1836,19634,2717,5499,5729,11808,4674,74520,77356
E111,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8617000,340905,74118,4791,16308,9357,17429,1968,7762,14626,87601,106945
E112,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8820000,456615,136973,7335,13939,5387,14069,3576,7608,8380,45888,213460
E113,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8222000,339444,68213,21,10911,6563,12916,5276,74918,5289,42913,112424
E114,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8953000,333040,53012,3842,30041,3470,25367,5664,123899,3231,49826,34688
E115,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8714000,264617,106459,82,45551,7080,4505,5034,24812,6635,47756,16703
E116,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8491000,253518,64637,15398,14112,23804,7125,40607,8491,30368,27191,21785
E117,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8672000,243050,111118,912,19530,1402,6973,12676,19464,4044,38505,28426
E118,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8944000,345912,145473,6937,12775,4071,14892,3041,25566,14331,75837,42989
E119,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8893000,504077,75788,65746,22278,12612,36650,13074,7734,48445,78173,143577
E120,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8559000,434882,66406,16109,21902,15864,9683,21389,35407,165724,61558,20840
E121,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8865000,293571,79764,1130,24611,6462,33226,7606,39623,12642,38671,49836
E122,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8566000,281107,62100,3790,19091,9075,18409,20869,6402,35655,58702,47014
E123,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8434000,995938,112045,8532,11527,51456,32374,24066,53217,609633,44958,48130
E124,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9275000,395662,96268,61456,10854,6057,71941,7790,34999,9311,60462,36524
E125,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8949000,358773,107367,10943,29559,4834,18666,69047,16648,14219,59519,27971
E126,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8877000,402010,102808,3076,23313,4662,3100,2180,30495,12619,70468,149289
E127,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9009000,351771,49456,1148,22481,1390,41433,7850,7517,26828,55926,137742
E128,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8944000,602235,194881,5496,26831,15129,19589,3086,58824,11571,74112,192716
E129,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8704000,363034,107407,17886,10968,7142,20930,3495,46033,11028,68499,69646
E130,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8686000,378277,81062,1524,54324,677,5100,22262,74379,28086,67101,43762
E131,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8660000,686138,73407,7870,8317,7205,67090,6013,301418,64905,78247,71666
E132,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8854000,399552,45988,8470,39677,20300,9206,7971,65525,21189,88913,92313
E133,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8688000,198390,52529,671,22511,11280,6905,4650,25437,4800,45352,24255
E134,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8749000,811577,87004,6194,42579,1953,6167,53202,79923,423911,56763,53881
E135,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8534000,532613,170795,25874,46374,27869,17076,6248,112973,32811,37351,55242
E136,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9000000,585226,124781,15265,9569,11783,4285,3126,256859,4163,91445,63950
E137,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8833000,352421,93954,19104,25031,5949,4919,6187,29066,47411,58025,62775
E138,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8655000,355429,75027,4474,13759,13224,18341,4649,11390,58154,56064,100347
E139,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8723000,2284752,64833,21844,33924,3144,33071,8591,123664,1927883,56483,11315
E140,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8625000,314790,66800,32756,23297,10618,77090,12448,26868,6180,36365,22368
E141,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8952000,286618,91949,12888,24241,2717,27765,4598,17581,22442,58765,23672
E142,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8321000,916844,79550,7111,20657,17415,6553,5632,12175,40837,68784,658130
E143,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8249000,544974,159213,344,25737,5743,1013,106204,128401,19926,69020,29373
E144,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8847000,664799,90771,13970,11993,16460,1437,94224,261027,34921,72974,67022
E145,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8486000,197620,33734,2317,37365,17968,10587,4191,11645,3358,60628,15827
E146,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8613000,384155,128279,24476,24514,13959,3617,1811,61331,7204,26946,92018
E147,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8394000,396308,167106,7195,33586,5332,7435,6557,25722,2194,76636,64545
E148,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8511000,273363,49250,547,20385,26832,11945,28882,30462,12593,65877,26590
E149,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8761000,350393,80237,1765,29651,621,26309,2454,25096,31988,66859,85413
E150,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8633000,707929,82922,3347,10989,31664,10404,3034,108049,210018,43148,204354
E151,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8773000,389771,101218,12722,31232,1384,16330,78068,11969,46200,55227,35421
E152,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8530000,489405,99064,2163,27192,92698,18242,13151,125162,21411,49465,40857
E153,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8519000,553698,124272,1552,19267,12803,5093,20826,202710,35758,91706,39711
E154,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8860000,366107,122288,390,26426,8496,4726,2745,45661,20320,105382,29673
E155,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9070000,609567,143065,104839,27454,19689,5915,2652,92707,74065,53316,85865
E156,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,9581000,579414,58058,4766,8735,6311,70359,30786,74472,69018,122883,134026
E157,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8995000,450255,114370,4324,24031,11828,68229,10217,23029,12333,46990,134904
E158,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8495000,282370,60115,3428,28416,9473,12314,33102,13797,11111,73118,37496
E159,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8972000,325852,110109,7134,24551,3839,10667,54860,26012,7355,74579,6746
E160,2_第2次産業,2_職員,2_30〜499人,4_50〜59歳,657.6989529,8698000,321286,82288,11388,40355,1565,5683,39017,37524,2629,71223,29614
E161,2_第2次産業,2_職員,2_30〜499人,5_60歳以上,764.8505747,8317000,229682,60178,2490,19141,41541,3407,1538,13739,13240,30354,44054
E162,2_第2次産業,2_職員,2_30〜499人,5_60歳以上,764.8505747,8144000,205549,83064,27921,17079,5398,3324,11842,29120,12111,9005,6685
E163,2_第2次産業,2_職員,2_30〜499人,5_60歳以上,764.8505747,8063000,437005,92490,8058,15726,4618,9478,2327,3552,24429,50302,226025
E164,2_第2次産業,2_職員,2_30〜499人,5_60歳以上,764.8505747,8345000,273713,77769,1078,28472,9343,2147,19571,19499,6945,59631,49258
E165,2_第2次産業,2_職員,2_30〜499人,5_60歳以上,764.8505747,8119000,398859,144204,2596,11723,13192,6939,8482,65838,4347,90536,51002
E166,2_第2次産業,2_職員,2_30〜499人,5_60歳以上,764.8505747,8250000,241652,59050,275,16382,2050,13170,4997,11327,2283,50957,81161
E167,2_第2次産業,2_職員,2_30〜499人,5_60歳以上,764.8505747,8025000,690165,68218,27149,18378,9434,10676,3732,172268,1315,73948,305047
E168,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8729000,340902,91891,6047,13064,31037,10025,6904,7906,7748,79996,86284
E169,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8699000,356684,36970,16024,25407,16491,19493,15041,129250,10742,53460,33806
E170,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,9267000,372339,67294,25366,12177,2562,28965,24153,8099,4251,71106,128366
E171,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8808000,262018,65946,14230,13822,3536,9154,10159,11103,16375,75024,42669
E172,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8641000,311118,108010,4528,25823,6835,14689,26371,12433,35487,63543,13399
E173,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8385000,373228,55968,39979,12796,4883,17146,19635,36294,3771,61791,120965
E174,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8737000,386975,78127,14220,7633,12719,3072,22081,19814,10360,77000,141949
E175,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,9721000,340105,59096,15613,36697,4052,6376,9810,34483,55714,88352,29912
E176,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,9041000,452652,64468,46258,31224,2131,36412,8999,137179,48534,60879,16568
E177,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8168000,349583,108007,1066,19027,6339,13637,11787,108196,24565,5333,51626
E178,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,9042000,520146,71226,5976,12595,2576,16004,2572,210830,5858,31576,160933
E179,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8907000,453590,60044,3102,11509,17691,6038,7201,57847,1661,38094,250403
E180,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,8696000,592587,82148,4052,15395,4409,12094,8082,50662,288955,62041,64749
E181,2_第2次産業,2_職員,3_500人以上、官公庁,3_40〜49歳,735.6792453,9715000,472494,138917,7297,9381,1201,40478,1848,7137,121459,126568,18208
