ID,世帯人員,就業人員,居住地域,住居の所有関係,就業・非就業の別,企業規模,未既婚,子ども有無,年齢階級（5歳階級）,年齢階級（65歳未満か否か）,集計用乗率,年間収入,消費支出額（合計）,食費,住居費,光熱・水道費,家具・家事用品費,被服及び履物費,保健医療費,交通・通信費,教育費,教養娯楽費,その他の消費支出,１ヶ月平均CM視聴率,CM視聴率の高低
C20,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4586881,194510,57839,6311,14451,2243,8314,2499,5882,2089,38224,56652,12.1,中・低視聴率層
C21,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4964893,314737,29179,1306,12183,3974,4811,2279,129896,3737,28293,99074,13.6,中・低視聴率層
C22,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4658622,194202,33324,11193,10220,7462,3704,1147,36078,123,8235,82711,10.7,中・低視聴率層
C23,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4531857,128118,31708,655,15123,15166,5207,2071,3346,4397,27805,22636,11.5,中・低視聴率層
C24,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4364061,174874,43242,1225,13663,8014,5738,3158,3194,904,15388,80345,9.9,中・低視聴率層
C25,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4621847,148901,40207,386,18265,6305,20904,4913,257,6488,10147,41024,15.5,高視聴率層
C26,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,5124413,145004,30793,28441,10587,12923,10585,1408,24461,627,14835,10339,10,中・低視聴率層
C27,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4648353,181039,55054,8027,15074,4020,6094,8493,10510,12925,13729,47108,14.6,高視聴率層
C28,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,5107333,108192,58654,3764,9779,3682,10067,3287,3629,603,10467,4255,6.9,中・低視聴率層
C29,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4464841,176277,34264,3561,9472,27182,667,6950,32155,516,37865,23641,6.6,中・低視聴率層
C30,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4619798,205342,24130,3095,14205,1559,1967,3208,5169,1843,68748,81415,2.2,中・低視聴率層
C31,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4978599,137397,31741,10024,11089,31396,2692,8164,12736,476,19724,9350,13.7,中・低視聴率層
C32,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4501429,141645,43033,1765,20833,1407,28680,6532,3665,202,10653,24869,15,高視聴率層
C33,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4414928,127464,30985,6221,9705,4857,773,8646,16918,635,13004,35717,9.7,中・低視聴率層
C34,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,3_35〜39歳,1_65歳未満,531.4642857,4654604,157118,32553,47552,11138,1165,4560,2909,1048,512,7099,48578,16.9,高視聴率層
C35,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4748899,243158,24861,209,13815,4743,1720,30792,2554,419,4517,159523,8.3,中・低視聴率層
C36,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,3_35〜39歳,1_65歳未満,531.4642857,4547798,142136,50201,6210,17433,485,1970,8626,33033,58,14331,9784,10.2,中・低視聴率層
C37,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4836156,180531,48944,4818,8400,9126,6807,33438,29532,5638,10575,23248,10.7,中・低視聴率層
C38,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5807261,203934,55003,149,13766,6692,38423,1790,20892,1993,20126,45097,6.1,中・低視聴率層
C39,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5374376,184924,40037,13,10622,7508,8240,23715,39900,779,28633,25473,9,中・低視聴率層
C40,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4699051,212674,43279,1645,11056,9047,46690,10142,30036,684,47738,12353,12.2,中・低視聴率層
C41,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5564433,240705,40303,23235,9461,17759,7519,32076,19067,897,32818,57564,15.5,高視聴率層
C42,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5355474,186778,32316,85,10924,6752,16981,24720,38077,1439,27231,28249,8,中・低視聴率層
C43,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5472681,125442,38935,1292,10628,3595,494,2305,12572,9252,3627,42737,8,中・低視聴率層
C44,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5036618,187644,39980,22,19622,3249,881,14929,14028,352,26137,68439,6.2,中・低視聴率層
C45,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,4559260,131365,50464,342,14765,6377,13317,2614,14278,5044,17464,6696,5.9,中・低視聴率層
C46,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5045019,151502,25990,3979,9575,4170,18321,30739,10558,13913,11387,22866,6.4,中・低視聴率層
C47,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5081229,233066,23920,186,14612,4382,2229,15364,16889,777,2833,151869,6.4,中・低視聴率層
C48,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5409135,314730,58461,3066,13112,7738,3227,2135,45187,46078,63961,71761,10.1,中・低視聴率層
C49,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5245724,623312,58709,5129,13293,17496,519,1090,35903,282376,94634,114159,10.5,中・低視聴率層
C50,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5106070,161212,28030,14264,12657,7559,15411,3273,22711,7954,31677,17671,10.4,中・低視聴率層
C51,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5130639,272925,78573,1354,22019,1946,2687,8288,32680,1233,8825,115315,7.1,中・低視聴率層
C52,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5128416,157290,37901,286,13530,14733,5578,2145,34138,1906,12194,34874,6.6,中・低視聴率層
C53,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5356649,380710,34904,964,9285,2297,2454,5266,40775,37518,55444,191798,13.7,中・低視聴率層
C54,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5494071,255102,44737,747,17236,4651,6606,28660,60714,6908,18546,66293,7.7,中・低視聴率層
C55,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5376065,190333,55111,300,16486,11792,31455,1112,13942,1976,19575,38579,5.3,中・低視聴率層
C56,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4970364,160473,47748,4302,11400,10570,2170,5741,34616,9915,2824,31183,15.3,高視聴率層
C57,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5200834,220892,58771,19648,12940,7352,3436,11109,58163,2514,16297,30657,5.5,中・低視聴率層
C58,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5614992,315408,60576,1436,14397,8828,27032,11924,60922,1204,30387,98698,10.4,中・低視聴率層
C59,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5162543,175512,41397,7830,10796,8741,12897,2154,38153,2707,21544,29288,7.5,中・低視聴率層
C60,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,5304129,244730,36114,32,25410,1843,24379,2180,35358,1124,93965,24321,16.8,高視聴率層
C61,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,4_40〜44歳,1_65歳未満,585.8870968,4980330,157754,34918,508,10309,6943,2206,1355,19439,8147,27273,46651,13.1,中・低視聴率層
C62,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,5293401,920650,42749,2564,6617,17751,16076,8308,71402,2451,8202,744524,6.3,中・低視聴率層
C63,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,4_40〜44歳,1_65歳未満,585.8870968,4980919,189736,35742,418,14250,2629,1529,5484,42770,16910,29715,40286,8.1,中・低視聴率層
C64,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5036005,386037,49034,367,11605,6539,4633,10053,86915,623,154428,61834,5.8,中・低視聴率層
C65,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5176040,292113,34036,241,14039,7670,11229,9566,26864,3177,70485,114801,14.9,高視聴率層
C66,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5151309,273065,68017,4113,14331,29787,24857,5125,20669,31028,13431,61701,9.9,中・低視聴率層
C67,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5212752,308310,47927,1647,20630,634,12223,332,24217,10156,21364,169177,7.6,中・低視聴率層
C68,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5141087,280358,51635,2830,11828,4265,4221,16081,103357,28094,22716,35327,6,中・低視聴率層
C69,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5589579,234764,44360,737,12876,2036,11026,1735,47797,17063,87596,9534,9.8,中・低視聴率層
C70,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5061000,147843,58274,1696,6848,1320,3422,7040,38077,2416,16785,11959,12.7,中・低視聴率層
C71,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5294855,166713,39577,1226,15679,7274,9388,12165,46937,8604,7682,18177,8.8,中・低視聴率層
C72,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5530235,144522,62601,158,18769,650,1306,1714,32182,698,22012,4428,17.9,高視聴率層
C73,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,4980891,243195,74753,671,19847,2607,1695,6221,22705,20545,34246,59901,3.8,中・低視聴率層
C74,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5244647,244402,102781,1240,22681,6101,10553,2031,32463,8394,13189,44966,8,中・低視聴率層
C75,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5160666,263569,20082,7594,9592,1486,39505,843,63950,7109,74866,38537,11.7,中・低視聴率層
C76,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5318652,181644,50265,1370,10384,775,3151,4410,24421,64,19195,67605,4.2,中・低視聴率層
C77,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5557915,150038,59634,313,15786,4153,2565,5857,26852,3328,23581,7964,16.3,高視聴率層
C78,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5180935,223520,44911,505,23987,791,15686,5304,33676,13051,18629,66975,10.7,中・低視聴率層
C79,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5251106,317439,56023,2918,7545,1296,14923,4614,84722,47965,81093,16335,11.7,中・低視聴率層
C80,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5323292,248937,42535,143,26750,11654,3146,5210,63307,43,15393,80751,10.8,中・低視聴率層
C81,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5218697,169881,38614,1530,12550,717,17857,15279,15666,21031,36609,10024,3.7,中・低視聴率層
C82,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5080589,252186,33038,915,13586,6370,25210,6779,13770,4272,34514,113727,8,中・低視聴率層
C83,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5268418,375801,68800,703,12548,4769,25962,922,21300,390,10560,229842,11.2,中・低視聴率層
C84,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5076477,584066,27443,1039,14475,16116,13900,5791,12612,4254,30724,457705,6.5,中・低視聴率層
C85,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5156375,259975,51188,4053,15652,2308,8249,8833,34188,26725,20845,87930,7.9,中・低視聴率層
C86,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5687805,182475,16644,3238,11536,21577,8949,5345,35308,2787,49807,27279,9.7,中・低視聴率層
C87,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5094847,154619,42393,2751,15444,2982,5473,11942,33724,480,22068,17357,7.8,中・低視聴率層
C88,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,4994840,262749,51426,606,18316,8499,17823,5045,32921,5065,29897,93148,2.5,中・低視聴率層
C89,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5264600,462315,24365,149,12752,10214,2337,3363,12059,607,42541,353925,11.1,中・低視聴率層
C90,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5315909,214731,61365,1962,15383,2394,27274,17152,43276,118,31389,14413,5.3,中・低視聴率層
C91,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5591782,283484,43922,2419,15226,32161,1995,5114,62022,82565,29731,8325,8.6,中・低視聴率層
C92,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5456871,241945,54911,460,12256,1019,11138,5989,15248,1461,25475,113984,12.3,中・低視聴率層
C93,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5240629,251543,47989,417,9965,2359,17388,7923,103834,1762,9790,50110,10.7,中・低視聴率層
C94,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5446664,202219,68354,3417,19795,4791,23673,2266,24197,1514,5390,48818,15.6,高視聴率層
C95,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5204904,172882,52646,679,16615,7922,11748,5868,18909,3466,28457,26568,15,高視聴率層
C96,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5485958,175973,53712,323,10781,823,31624,2128,16800,4086,24972,30719,3.7,中・低視聴率層
C97,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5226641,183807,74409,1987,24740,11204,9137,1592,7582,6885,26438,19829,9.3,中・低視聴率層
C98,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5310815,298619,45219,6581,10153,22044,28285,2391,15876,318,10865,156883,11.5,中・低視聴率層
C99,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5150422,157562,36470,285,13444,5404,6147,583,15434,3394,34042,42356,13.8,中・低視聴率層
C100,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5430783,338657,36087,831,22779,5890,7300,13134,129410,10215,7627,105380,15.2,高視聴率層
C101,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5198103,222428,58802,1101,16806,14909,28697,3710,63680,2117,6999,25602,11.8,中・低視聴率層
C102,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,5_45〜49歳,1_65歳未満,527.519084,5475762,296606,67307,118,14993,15876,20175,16791,16007,935,21018,123382,3.2,中・低視聴率層
C103,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,5_45〜49歳,1_65歳未満,527.519084,5156181,140227,19120,224,11036,1672,17190,34598,20607,1717,10134,23924,12.9,中・低視聴率層
C104,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,5923748,222243,40712,450,8725,29768,4867,8532,57627,65,8559,62934,6.1,中・低視聴率層
C105,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,6767262,193967,56803,136,14763,6744,4737,4795,9921,338,72352,23372,3.8,中・低視聴率層
C106,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6625111,142879,43111,1046,11966,2984,6083,621,21653,12046,11472,31892,8.1,中・低視聴率層
C107,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,6866517,563977,41388,455,10837,16376,4597,16042,243610,1145,55012,174510,10.8,中・低視聴率層
C108,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,中小企業,未婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,6894491,192383,41947,180,8959,1851,2783,1726,4811,12472,10773,106875,7.6,中・低視聴率層
C109,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6405479,266367,33681,3631,9800,24009,45171,3786,62634,3682,17836,62133,4.2,中・低視聴率層
C110,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,6923941,219855,93760,3565,22579,6155,1727,2274,68176,7170,6838,7606,11.8,中・低視聴率層
C111,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,未婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,5894289,301892,25528,2022,14170,6547,24529,2933,49879,28,6342,169911,3.6,中・低視聴率層
C112,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6663482,403067,58995,1165,16978,5505,11560,6383,27459,1824,48321,224873,15.2,高視聴率層
C113,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,中小企業,既婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,6097859,127537,39655,158,10513,21221,3469,18545,10802,4880,4355,13935,6,中・低視聴率層
C114,2_2人,1_1人以下,都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6587662,224047,75266,1939,21818,32743,12664,2798,29535,284,29860,17135,16.3,高視聴率層
C115,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども有,6_50〜54歳,1_65歳未満,579.9464286,6373948,133502,38504,1800,9292,5152,8716,10497,4070,1300,35814,18353,1.6,中・低視聴率層
C116,2_2人,1_1人以下,非都市圏,1_持ち家,1_就業,大企業,既婚,子ども無,6_50〜54歳,1_65歳未満,579.9464286,7267053,314559,56905,1705,13577,18906,8265,6972,127046,4054,46527,30599,7.5,中・低視聴率層
